1,Matt Baguinon, Sa mga nagsasabi na dapat hindi dinadawit ang pangalan ng UPLB sa mga balitang krimen sa Los Ba�os, eto ang tanong para sa inyo.Sa karamihan na nangyaring mga krimen kamakailan lang, masasabi ba talagang walang koneksyon ang UPLB dito maliban sa proksimidad?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Renabelle Darjan, Sorry but I really have to burst this out.Laganap ang nakawan sa Sampaguita Residence Hall dito sa UP Diliman. Pera, pagkain sa refrigerator, phone, damit, at kung anu-ano pang gamit. Minsan na akong nanakawan ng pera na umabot ng 3K. Nawalan na rin ako ng medyas na nakababad sa banyo. Madalas din nananakaw ang pagkain ko sa refrigerator. Hindi lang ako ang may ganitong karanasan dito. Marami pa. Hindi lang talaga nagrereport ang iba sa dorm manager. Nakakalungkot lang isipin na kapag may sinabihan ako na nawalan ako ng pagkain sa ref, ang sasabihin ng iba," """"ay"," malamang!"""" o di naman kaya """"ganun naman talaga kapag nag-iwan ka ng pagkain dun."""" na para bang """"nakagawian/nakasanayan"""" na ang pagnanakaw ng pagkain dito sa dorm. Marahil maliit na bagay lang yung pagkain pero malay natin", baka dun nagsimula yung pagkatuto magnakaw ng ibang gamit o pera. Pagkain lang yun, pero NAGNAKAW KA PA RIN. KASALANAN PA RIN YUN. LABAG SA BATAS. Di ko rin lubos maisip kung anong dahilan ng mga taong 'to, eh kababaeng tao, naturingan pa namang matalino at dapat sana ay huwarang mag-aaral, eh nagnanakaw. Di ko alam kung labis ang kahirapan at di makabili ng pagkain o sadyang mga patay gutom lang talaga. Kahit pa man lubos na nangangailangan tayo, WAG NAMAN SANA NATING PAGNAKAWAN ANG KAPWA natin. Marapat na manghingi na lang. Kahit naman hindi kita kilala, magbibigay naman ako. At sigurado akong ganun din gagawin ng iba (tama ba?). Pucha, nakakaasar lang talaga kasi yung pakiramdam na ang dalas mong manakawan, at wala kang magawa dahil hindi mo alam kung sinong hahanapin mo, sinong suspek mo. Abuso na talaga! Mag-isip naman sana tayo! Magmunimuni. Sana naman gawin nating goal ang maging matuwid na tao kahit sa mga maliliit na bagay man lang. Di naman tayo nandito sa UP para matutong magnakaw.KUNG MAGNANAKAW KA NA RIN LANG, ANO PANG KARAPATAN MONG TAWAGING ISKOLAR NG BAYAN?Pampagising lang sa ilang mga nagtutulog ang moral diyan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Biel Remoquillo," Since balita ko Araw nanaman ng ehem """"Contraceptive induced Socsci3"""" I declare this day """"Eggplants and Bananas day"""" Wala ng Socsci3 student na magugutom ngayong gabi XD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Julean Jay Adriatico Daymiel," UP Hellweek Story:When I was making my final Paper for Experimental PsychI shouted """"I need someone to push me inorder I will work on my paper""""The chair cracks", break and the next thing that happened, I was at the floor.I think it's not just the paper that I should work out, I think my diet is included.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Steffany Robles Redison, (Sa mga Sasablay ngayong taon)Kanina. March 21, 2013. History1. UPVMiagao.*non-verbatim*Prof: (Referring sa mga 4th Year students sa room) Ay, marami pala kayong graduating dito.Kuya (Fourth Year): Yes Ma'm, Lima kami.Prof: Sigurado na bang gra-graduate kayo lahat?Kuya: (Positive na positive ) Yes Ma'am!Prof: You know in Soc Sci, you can't really be sure na gra-graduate ka unless you are already marching. (Smirk)==> SABOG. o.O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Stee Sabigan, Munting paalala sa mga kapwa tambay ng Overheard at UPMasayang makisawsaw sa mga maiinit na issue. Ngunit bago po tayo maglabas ng maaanghang na salita, magbackread muna tayo. Remember, tinawanan natin si Pacquiao nang nagraise siya ng mga issue about the RH Bill na na-settle na pala.Wag tayong gumaya.Magbasa bago magtanong; magbasa bago magalit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Ma Angelica Tujan, dahil sa kwentuhan namin kanina ay napagdesisyunan kong i-share dito ang exp ko :Dhindi pa ako naka-experience makakita ng multo o makaramdam ng kakaibang presensya ng kung ano mang wala na dapat sa mundong ito~ pero naranasan ko yung sobrang takot at kaba na tipong nagtatayuan na mga balahibo ko sa batok tas hindi talaga ako makakilos o makagalaw >,<siguro dala na din ng sunud-sunod na pagpupuyat kaya tulog tulog din ang peg ko~nangyari sakin 'to isang madaling araw.. nagising nalang ako bigla kasi may naririnig akong nagsasalita pero hindi ko maintindihan ung sinasabi kasi medyo mahina din.. basta naiintindihan ko lang ay may 's' na tunog, ganon..takot na talaga ako kasi alam ko walang ibang tao sa kwarto kundi ang tatay ko at ako kaya ayoko din magmulat ng mata.. naramdaman ko na na pang-horror na un at base sa mga napapanuod ko, pag nagmulat ako ng mata it's either, wala akong makikita o meron akong makikitang nakakatakot~~~~ T~Tpinilit kong wag pansinin at matulog nalang, pero patuloy talaga sa pagsasalita ung kung ano man un.. feeling ko bigla ay may incantation o something na ginagawa kaya nagdasal na ako at lahat lahat talaga matahimik lang ung nagsasalita at makabalik na ko sa pagtulog ko pero walang epek. takte. T^Tang ginawa ko, nakakahiya man lol, pinokus ko lahat ng energy ko (waw noh? pero walang biro) makasigaw lang ng 'daddy!' llloTLllljusme ang fail lang, sobrang duwag eh, sare na~eh di nagising tatay ko at nagtanong anung meron.. for sure, safe na magmulat ng mata at ang tanging nakita ko ay ang phone kong naka-on ang music player..ung nagsasalita pala ay ung sa music player ko at kaya pala hindi ko maintindihan ung sinasabi kasi puro Japanese songs ung nasa playlist! jusko!nasanay kasi akong makinig ng mga kanta bago matulog, at nakalimutan ko palang i-off ung player :O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Ezra Osorio, Kanina sa loob ng Toki Jeep...Ateng taga-UP: Para po! (mahinhin na tinig)Hindi huminto ang jeep.Ateng taga-UP: Kuya Para po! Para po! (pasigaw na boses)Biglang huminto ang jeep.Driver: AGAD-AGAD????!!! (naaasar)Ateng taga-UP: Hinto-hinto din Kuya pag may time. haha. (sabay baba sa jeep) :D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Rey Refran, Someone SHOULD buy brains for this stupid writer...ay, ung bagay na brain sa kanya wala nyan sa UP :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Jem Pancho, Ang dami kong overheard tungkol kay Kristel Tejada pero ito talaga ang tumatak sa akin. Kaninang umaga sa jeep mula sa amin papuntang SM North. May isang girl na super pretty na nakikipagcheka sa boy na katabi nya. Nasa unahan sila ng jeep. Edi super titig ako kay girl dahil ganda talaga ng fez niya.Medyo malapit na si girl sa bababaan niya nang mag- open siya ng topic.Girl: Uy, nanood ka ng balita kagabi?Boy: Hindi. Anyare?Girl: Nagsunog ng mga upuan sa amin, sa PUP.Boy: Edi dapat nakisunog ka rin.Girl: Eeeh. Yoko nga. Nakakahiya.Boy: Alam mo ba 'yung isyu?Girl: Hindi.Boy: Aw. Dapat ka talaga mahiya.Girl: Ay grabe. Judgmental! Boy: Taga PUP ka diba?Girl: Oo. Ano naman?Boy: Yun na yun.Wasak. Tambling ako kay kuya. :D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,B-k Rosales-Quismundo, Kristel," you already had the money to pay but UP Manila insisted on enforcing its policy of no late payments and got you to go on FLOA? Forced Leave of Absence. That is after you managed achieving 1.75 on a major Psychology exam in a course you were allowed by your teacher to audit? Now I understand why so many are blaming UP itself after your death. Now I understand the emotional UP Manila Chancellor Dr. Agulto who apparently said to the effect that had he really known your real predicament he would have done something after your death. Now I understand UP Pres. Dr. Pascual's speed at rescinding the """"No late payment policy"""" throughout the UP System after your death. Now I understand why I am angry all over again. Kristel", however wrong suicide is to most of us, I cannot fault you for losing hope, strength, and the will to live. I wish this were just a nightmare we all could wake up from. I wish you could have kept on dreaming for your future. You and your family have suffered enough humiliation in your life and in your death. You are dead meat, spilt milk, and a loser. You are a weakling and a coward. You are these because these are how your tormentors see themselves. They are projecting themselves on you, afraid that one day it will be their turn to do the unthinkable. To allay their fears they have to vilify you, desecrate your memory, and shred your reputation many times over. But you need not worry anymore. Go placidly now. Rest in peace. Your life was not in vain.You are kind, beautiful, bright, and full of hope. Sincerely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Klarenz Kristoffer Magdaluyo Qui�ones, ATTENTION SA MGA MAGTATRANSFER SA UP DILIMAN!Meron na for 2013: http://our.upd.edu.ph/announce/PrimerT-2-2013.pdf (from other schools) / http://our.upd.edu.ph/announce/PrimerT-1-2013.pdf (for UP students),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Carla Janine Zipagan," PI 100 reporter lecturing the concept of """"Katarungan""""(non-verbatim)Reporter: Kaya natin alam ang konsepto ng Katarungan dahil alam nating walang katarungan (sa present society). Halimbawa", mahal ko siya (pointing to another PI classmate) pero...di niya ko mahal..Walang katarungan!--------------------------Damoves ni kuya reporter HAHA!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Ayla Ellis, Uso yung mga freshman na nagtatanong kung nasan yung TBA, pero one time may nagtanong sa akin kung nasan ang G-Y-M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Jerome Ian Arbonida, Yung ang saya saya mo kasi sasabhin ng mga kaklase mong akala mong karamay mo sa kagipitan," """"syet! Di ako nakaaral!"""" """"ako din"," natulog lang ako!""""Tapos sila ung pinakamatataas sa exam! #trustissues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Gen Regalado, Sa pila for STFAP. (UPLB)Me: Lumapit kay Ma'am. In-explain na down ung system at ngayon lang nakapagpaprint ng appointment letter.Tita: Sige sunod ka kay ate. (Tinuro si ateng nakaupo na  sunod nyang kakausapin)Me: (Dahil wala pang upuan. Lumingon.)Nanay sa likod: Miss, may pila," doon iyong dulo.Me: (Dahil maiksi lang naman ang pila) Ah okay po. (Smile)2seconds laterMe: (to ateng katabi) Ate anong pila ito?Ate: Para po sa deficiency.Me: (Napaisip. """"Ah baka ung appointment letter ung deficiency ko"""")(Nagtanong ulet para sure.)Tita san po ako pipila ulet?Tita: Dito.( Turo sa binakanteng upuan ni previous ate)2 seconds later. Nanay sa likod: Miss. Miss.Me: (Lingon)Nanay: May pila kasi.Me: Ah kaninang umaga pa po kasi ako dapat.Nanay: Ah kami din. Kanina pa. 4:30 pa dapat. (5:00 na)Me: (11:00 kasi dapat appointment ko) Ah okay wait lang po. (Akmang kakausapin si Tita", kaso busy) Dito po kasi ako pinaupo eh. Wait lang po.Nanay: (Nagparaya na lang.) (Mabait naman si nanay)Me: Lumipat na sa susunod na upuan para sa interview. Si nanay agad umupo na sa inupuan ko.  Tita: (Nashock kasi biglang umupo) Nay! Ano yang sa'yo? Nanay: Deficiency po.Tita: Nay sa kabila ang pila mo. Para po ito sa mga kaninang umaga ang appointment.Nanay: Ah okay po. Sabay tawa.(Relieved)Si Nanay talaga!! Muntik pakong awayin.Haha. In fairness aircon na at hindi sobrang haba ng pila for STFAP. Impressed na sana ako kung iyong appointment time eh nasunod. Infairnez, sa 5 taon kong pagpila sa STFAP eto na ang pinaka-comfortable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Rodolfo Po III, BANGAG MOMENTS 101I didn't really fully believe sa mga sabaw moments and stuff. For me, parang imposible lang mangyari. Di talaga ako naniniwala, until last night. Anyway, start na kasi ang finals, pero ako, dahil freshie pa, medyo keri lang. Wala masyadong pressure. Pero medyo occupied din naman ako because of research papers, assignments, review sa last le, review sa finals, chuchu. Sunud sunod exams ko for SocSci1, Math 53, and History 1(which is bukas pa). Well," let's skip nalang sa """"preparation"""" ko for Math 53. Kahapon", di ko talaga feel na finals na bukas(which is earlier today), kaya facebook facebook lang, twitter, tumblr, laro, basa ng manga, nood sa youtube ng random videos hanggang mga 9:30pm. Then kumain pa ako ng dinner, which took me mga 1 hour, and yes, matagal ako matapos sa pagkakain. So, mga 10:30pm pa talaga ako nakastart magreview ng seryoso. AYUN, cramming, hanap sa bluebooks, analyze paano sinagutan. PANIC HERE, PANIC THERE (ang expert ko magpanic eh, dapat bs panicking nalang kinuha ko. K for korni.xD) Well, natapos na ako nun mga 1:30pm, and nagdecide na akong matulog since maaga pa exams later that day and nakatulog na rin laptop ko that time. So ayun, punta muna sa cr para umihi. After nun, flush. Then tinurn on ko ang shower," kinuha ang shower head(Or ano ba tawag dun.XD) and after 2 seconds.""""SHEEEEEEEEEEEEEEEEEEET!!!""""", ayun, binasa ko na pala sarili ko, with my clothes on, wet look ang peg. Kaya ayun, pinatuloy ko nalang and naligo ako, kahit anlamig dito sa Baguio. So, instead of 1:30, mga 2:20 na ako nakatulog. Pero okay lang, hindi naman ako nalate sa exams kanina, pero mahirap talaga siya.   super mahirap* . nakakaiyak. T^TLesson learned: Pagnagcr ka at kakatapos mo lang sa kakaaral, maghubad ka nalang before pumasok, at least safe ang damit mo....... de, joke lang.:)))
91,James Relativo, Isa pang nakagagalit na balita sa UP.After mo magsilbi ng sobrang tagal, eto ganito sa'yo? Ayaw pang gawing sapat ang pagpopondo sa SUCs. It's like so nakakajirits! :0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Kristoff Salazar, UPLBNagrereview kame ng Microbiology 1 ng mga housemates ko at ilang friends sa apartment namen. Ang gamit namen ay soft copy nung lectures ng Prof namen. Eh di ganyan basa-basa tapos dahil hindi namen maiwasan magdaldalan habang nagrereview ang tagal namin bago makaalis sa isang page ......Biglang nagsalita yung isa kong  Housemate ...Housemate : BAKIT GANUN," BAKIT HINDI AKO MAKA-MOVE ON?Lahat : =_='' Tawanan at """"Me pinagdadaanan kaba at Me pinaghuhugutan"""" ang nangibabaw sa bahay namen. Pampalubag ng buhay this Hell Week .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Eds Laranang, Kahapon, nakasakay sa jeep from Delta going to Kamuning. May 5 4th year HS students na puro lalake ang nakasakay din at nag uusap about sa school na papasukan for June.(Non--verbatim)S1: San kayo mag-eenroll mga pre?S2: UE.S3: Mapua. Mga cool lang daw tinatanggap sa Mapua eh! hahaha!S1: Ako, UST. May 7-11 ba kayo sa Mapua? Kami meron! Sa loob ng school pa!S3: Meron din yata..S1: Grabe yung exam sa UP pare, pang Diyos! 2.745 yung Math ko! Akalain mo yun naka 2.745 pa ako!S4: oh? ayos ah! ako nga 3 point something eh.S1: Sabi nga nila pasado daw yung average ko sa UPLB eh. Ayoko nga! Baka MA-RAPE ako dun eh! HAHAHA!Me: (tinitigan sila isa-isa)S4: (nakahalata ata, biglang tumahimik)S1: (kwento pa rin) di, joke lang pre. baka maaga ako mamatay dun. ang daming namamatay dun eh. Pwede rin daw sa UP Baguio. Puro multo naman dun! HAHAHA!---kids. geez -_-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Garret Roy Villasor Aguilar, hello ! may course ba ang UP na marketing ? :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Ayla Ellis, Speechless. Hindi ko kilala si Anton Dulce o si Johanna Perez pero wow man, wow.http://jbperez4.blogspot.com/2013/03/i-am-hurt-anton-dulce.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Crisostomo Valdez Bato, mula sa UPB!!dahil katatapos ng exam sa abstract algebraayun di kuwentuhan sa labas ng classroom,, siyempre kasama yung prof ng biglangetong si classmate ay nagtanong kay sir:classmate: sir magtuturo po ba kayo ng higher math next sem??sir: hindi eh,, puro math 11(college algebra) at math 14(Plane Trigonometry) ang ituturo koclassmate: Yes!!!!!!!!! sabay taas ng dalawang kamay eh!!Sir: di maipinta ang mukha' balik ng room para tingnan yung mga nag-eexam pa..Tas kami, face palm nalang eh,,Hahaha lakas talaga!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Rasion-san Dimaampao Arobinto, OVERHEARD tambayers kumusta na ang March niyo? make or break? heheDahil malapit na ang mahal na araw share ko lang nakakatuwang nasaksihan kong eksena kani-kanina lang.  papunta na ako sa room ko galing sa labas kumain sa SC at nadaanan ko sa lobby ang c0-dormer ko na friend ko rin talking her mom over the phone. di ko sinadya makinig pero my itatanong sana ako sakanya kaya lumapit ako.non-verbatim: mom: (saying something di ko maitindihan) ...makakauwi ka ba sa weekend?co-dormer: (asking her mom about something di ko rin alam).... ang dami kong ginagawa. sobrang busy ako. di ako makaka.uwi this weekend.  ..'di rin ako maka.uwi sa holy week my exam ako.mom: my pasuk kayo sa mahal na araw?cd: opo. my exam nga po ako. alamo naman dito UP walang diyos diyos. haha. mababaw lang siguro pero yeah natawa ako. :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Glenn Cruz, Sana hindi ka nagpakamatay, hindi naman yun ang sagot kapag nahihirapan ka. Sana gumawa ka muna ng paraan para maka-usad. Tinanggalan ka lang ng karapatang mag-aral, hindi ka tinanggalan ng kakayahang matuto. Alam ko mali ang sistema, pero kelan ba naging tama ito? Sana nakipagsayaw ka muna, tsaka ka magsumikap na palitan ang tugtog. Sayang, marami pa sanang magandang mangyayari kung pinili mong mabuhay. Pero ganun pa man, salamat kapwa ko Isko. Umasa kang hindi masasayang ang ibinigay mo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Rhem Vitug, The International Committee Committee of the Red Cross (ICRC) in Philippines is hiring for a SENIOR FIELD OFFICER(Based in Manila)Main tasks:ﾷ Contributes and participates in the assessment and monitoring of humanitarian situation in the area of coverage including general political/socio-economical/security situationﾷ Assists in the identification of strategies and implementation of protection activities ﾖ protection of the civilian population, promotion of IHL, etc.ﾷ Promotes and disseminates the principles of International Humanitarian Lawﾷ Liaises with other internal ICRC departments for organization of specific tasks and assistance within the area of coverage  (i.e. conduct IHL dissemination sessions, identification/follow-up/implementation of related activities and/or projects, collection of information and updates, assessing of security situation, etc. )ﾷ Prepares written reports on a periodic and/or project basisﾷ Establishes and maintains contacts with various groups, including individual beneficiaries, humanitarian organizations, the Phil Red Cross and local authoritiesﾷ Contributes to the formulation of objectives, plan of actions and preparation of budgetsﾷ Reports events and changes within the region that could have an impact on ICRC's activitiesﾷ Travels regularly within the assigned areasﾷ Assumes main responsibilities for projects or programs independentlyﾷ Supervises staff (when existent)  Minimum required profile:ﾷ Bachelor's degree in public administration, sociology, economics, social work or equivalentﾷ Possession of a master's degree is an advantage ﾷ 6 years work experience in a similar fieldﾷ Fluent in written and spoken English and Tagalogﾷ Ability to speak Ilocano is an advantageﾷ Very good team leadership skillsﾷ Very good analytical skillsﾷ Very good communication skillsﾷ Good computer skills (MS Office)ﾷ Good driving skills with valid driving licenseﾷ Availability to travel regularly within area of coverageDuration: Open-endedTo be successful in this position, you need strong organizational skills and have the ability to meet the challenges of working on multiple priorities within deadlines. You take initiative and can work independently, but you coordinate well with others and enjoy being part of a team that is highly dedicated to supporting the humanitarian activities of the organization.Qualified applicants are requested to submit their comprehensive resume, cover letter expressing interest in the position and recent NBI Clearance to eantkowiak@icrc.org with subject line: SURNAME First name ﾖ Position Applying for (cover letter, resume and NBI clearance should be in one PDF file).  Mailing Address: HR Department, ICRC, 5th Floor, Erechem Bldg., Salcedo corner VA Rufino Streets, Legaspi Village, Makati CityOnly short-listed candidates will be contacted.,,,,,,,,,,,,,,,,,,,,,,,,
100,Merck Maguddayao, Quoting David Ong, on political vandalism: When symbolic violence against the common people has become so systematized that their fellow men have become desensitized to it, the proper answer (unfortunately) no longer lies in magnanimity. Writing on walls is, in fact, still a pretty tame manner of metaphorically taking back the space that rightfully belongs to the people.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Errol Pineda, Ngayon-ngayon lang:Classmate 1 (to me): Errol, bakit kailangan after pa ng holy week yung exams natin?Ako: Ewan ko, bakit ako tinatanong mo?Classmate 2 (out of nowhere): Para may time ipagdasal bago mag-exam.-- pigil tawa dito sa likod ng classroom =)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Anton Dulce, Pictures of activities yesterday sa UP Manila, UP Diliman, UP Cebu, and YES, PUP.For schedules from today to Friday: https://www.facebook.com/notes/anakbayan-phils/katarungan-para-sa-iskolar-ng-bayan-a-call-to-strike-for-justice/10151521370230901'Strike Demands' as laid out by the UP KILOS NA: http://www.facebook.com/photo.php?fbid=229274390546355&set=a.110830499057412.12430.109991912474604&type=1&relevant_count=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Andr� Raymundo, Story of my life every end of semester since my undergrad years:1. Mag panic kasi nagpipile-up na ang requirements.2. Panic some more kasi di pa nababasa ang readings.3. Aawayin ang sarili kasi di nag-aral at di gumawa ng requirements.4. Matutulog lang, instead na gumawa ng requirements.5. Aawayin ulit ang sarili kasi imbes na nag-aral o gumawa ng papers, tulog lang ang inatupag.6. Haharap sa computer para mag-aral/gumawa ng requirements, kaso magfafacebook lang.7. Aawayin ang sarili kasi facebook lang ang inatupag.8. Pag dating ng deadlines at exams, biglang lalabas lahat ng creative juices at sipag at di na matutulog.9. Mangangako sa sarili na di na to uulitin next sem.10. Milagrong papasa sa mga subjects, kaya celebrate na! Mapapako lang ang pangako.Rinse and repeat. Currently, nasa number 7 ako. It's a wonder nakapasok ako ng grad school. :p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Stee Sabigan, Ok. Let's put things into perspective. Everyone's affected by the events that have recently transpired and there will be people who have different points of view on it. There are several reason for this:1) misinformation2) overly zealous attention whoredom3) downright idiocyIf you want to put them in their place, go ahead and do so. Comment/reply on their tweet or facebook status for all we care. But don't you bring them here on the wall. Hindi takbuhan ang OverheardAtUp para maghanap ng mang-aaway ng mga tao. We are NOT YOUR PERSONAL ARMY (NYPA).Such posts will be taken down on sight. If you get kicked out, that's probably because the admin responsible is not having a good day (LOL). Join ka na lang ulit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,James Relativo, A very, very, very interesting speech from UPD Sociology Professor Dr. Gerry Lanuza.Ano ang duty mo? Huwag kang magtago sa duty! Dahil ang tanong ni Immanuel Kant saﾒyo," ﾓBakit? Ano ba ang duty mo? Sinong pinagsisilbihan mo? Ang bayan o ang duty?ﾔ """"Ang batas ay ginawa para sa tao at hindi ang tao"," para isakripisyo sa batas at memo.""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Manny Boy M Galia, Admins, what's with your cover, why all black? O, nakikipagluksa lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Lorenzo R. Tabin II, i see that a document i created is not here anymore. may i know the reason why?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Rommel Pacia, ilang araw na ring hindi mawala sa isip ko ang nangyari kay kristel tejada.bilang dating isko at ngayo'y ama ng isang iska, nais kong manawagan sa kasalukuyan at mga parating pa na mga isko at iska:lagi nyo sanang isipin na wala kaming hinangad kundi ang mapabuti ang inyong kinabukasan.ang mga problema at pagsubok laging dumarating sa tao.narito kaming mga magulang ninyo para tulungan kayo.wag ninyong kimkimin ang mga problema, lapitan ninyo kami.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Vie Marie Rivera," Hi guys! May mga quotable quotes ba kayong nai-spot-an sa mga banyo sa colleges n'yo? O kahit anong sulat sa pinto ng mga cubicle... Pa-share naman po :D""""The greatest inspiration is the deadline."""" -Cubicle 3", 2nd floor Girls' CR sa AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Jester Kutch Olayta, nung nag aaral pa ako sa UP diliman may isang akong kaibigan na humingi ng tulong skn upang kunin ang magulang ko, na isang empleyado sa isang kolehiyo, na maging guarantor nya habang ndi pa sya nkkbyad. Pumayag nmn noon ang aking magulang. Naisip ko lang, wala ba man lang ang nag prisinta sa mga UPM employees na maging guarantor nya pansamantala hbng ndi p sya nkkbyad? nkklungkot lang talaga ung nangyari.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Joshua Ratum Calaustro, Noong nabalitaan kong nagpakamatay si Kristel Tejada. Biglang nanariwa sa akin yung mga panahong gusto kong tumuntong ng UP kaso, hindi kinaya ng dakila kong will. Pinatanggap sa akin ng mga magulang ko yung katotohanang baka hindi nila ako kayang pag-aralin kapag sinunod ko yung gusto ko. Baka. Walang kasiguraduhan, kaso naramdaman ko yung katotohanang oo, totoo nga na mahirap ang pera para sa kanila. Sabihin ko man na masaya ako ngayon, hindi ko pa rin makakalimutan ang pait na minsan sa tana ng aking buhay, nangarap akong maging isang estudyante ng UP. Isang pangarap na inabo ng masaklap na realidad ng buhay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Levs Matriano, Nanay, pinapagalitan ang anak sa may sakayan ng Ikot...nanay: PUT@NG!N@M%!!O.o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Essa Kathleen Finch Yanson, From a #UPVMiamipipexperienceLast month nagfieldtrip kami sa Luzon for three days at dun nagstay sa NISMED ng UP Diliman. Timing at UP Fair nung time na yun. One night (Feb. 15), tumambay kami ng boyfreind ko sa sunken garden after dinner. Dun lang kami sa labas ng fair malapit sa stage. Syempre maraming tao that time. Dun sa damuhan umupo at nag muni2x kami ng boyfriend ko. Nag-usap ng nag-usap hanggang sa umabot yung topic namin about fisheries," ang kurso namin. Grabe na yung usapan. Nag-aargue na kami ng boyfriend ko about how important fisheries is nang biglang may humintong couple sa harap namin. Sabi nung guy """"Pre"""" sabay abot something sa boyfriend ko at umalis din. Di ko alam kung ano yun ba't nag thank you pa yung boyfriend ko. Nung napalayo na yung couple ay natawa yung boyfriend ko at ipinakiita sa akin. LICK IMPORTED CONDOM. Yun pala yung inabot sa kanya. Hahahah! Na-shock naman kami dun. Ganun pala ka generous mga taga-Diliman. At ganito pala kami ka inocenting mga nagmula sa kagubatan ni mother diwata sa Miami. Hahaha!Kung sino mang yung couple na yun """"thank you!""""Hahaha!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Chester John Salvaleon, pa-share ng album.nakita namin sa booklet ng grade 1. hahaha.http://www.facebook.com/media/set/?set=a.4601781571238.1073741825.1493283687&type=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
