Kumeresign,7 Days na lang. #PiliPinas2016 Debates na naman!!!
NCMErratica,Omg hahahaha THIS #PhVote #Halalan2016 #HalalanHugot #PiliPinas2016 @BilangPilipino @PHVote  https://t.co/LhXyUabyLQ
PHpolitics612,"@PhilstarNews @noynoyaquino Provided the truth is aligned with your version, yes? #PiliPinas #PiliPinas2016"
vinchie_cebu,So looking forward to my Sunday #OOTD.It will be sunny days ahead w/ #Duterte2016 <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #PiliPinas2016 #PHVoteDuterte https://t.co/sAbPP0WX3C
PHpolitics612,@MovePH @rapplerdotcom Wrong! Focus on the present rather than Marcos bashing. #PiliPinas2016 #PiliPinas https://t.co/u9w7yPqFUl
iambluefish,"Inis ka sa corruption? Tumaya si PNoy. Tayo, anong taya natin? 

https://t.co/nJ7mxdTCbG

#PiliPinas2016 #RoxasRobredo"
wearegladtohelp,#PiliPinas2016 https://t.co/g4eN1kolvW
_SEO_Tools,https://t.co/Ar0RqBXhHS $5 VPS #HOSTING https://t.co/HZDQOXz0TX #HomeJobs #OnlineJobs Twitter launches #PiliPinas2016 emojis
_Backlinking,MUST HAVE SEO TOOL create UNIQUE articles in seconds! #backlink #marketing Twitter launches #PiliPinas2016 emojis https://t.co/lpaHSjp6pX
avelmanansala,May emoji na ang presidential candidate mo sa Twitter! Woot! https://t.co/T0jqefcmCM
avelmanansala,Twitter launches #PiliPinas2016 emojis https://t.co/wmSUznec8m
ChubbyLantoti,"#PiliPinas2016 #PHVoteDuterte 

Kafunny<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
techsabado,.@twitter #PiliPinas2016 #PHVoteBinay #PHVoteDuterte #PHVotePoe #PHVoteRoxas #PHVoteSantiago @twitter_ph @interaksyon @autoceremony
erwincredible,Ang cool ng emojis nila hahaha #PHVoteRoxas #PHVoteBinay #PHVotePoe #PHVoteSantiago #PHVoteDuterte #PiliPinas2016  https://t.co/R3Hm5ZEWcR
attyaura,#PiliPinas2016 https://t.co/jLX3x0NhZI
techsabado,.@Twitter launches #PiliPinas2016 emojis https://t.co/URFgLO4z6Z @twitter_ph #PiliPinas https://t.co/8E7avf2e7N
interaksyon,.@Twitter launches #PiliPinas2016 emojis https://t.co/asLXesQ5mf @twitter_ph #PiliPinas https://t.co/PUhdpk1xtC
autoceremony,.@Twitter launches #PiliPinas2016 emojis https://t.co/FQcaIWfWem @twitter_ph #PiliPinas https://t.co/HGLXW9i80t
iambexx,"#PiliPinas2016 

#PHVoteBinay
#PHVoteDuterte
#PHVotePoe
#PHVoteRoxas 
#PHVoteSantiago"
titserJan,Minsan sa sarili yan nagsisimula. #change #PiliPinas2016
jerellediolanto,"#PiliPinas2016 
#PHVoteDuterte"
_nicsvc,@_siopaolo #PiliPinas2016 <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>
melanthology87,#PiliPinas2016 #PHVoteDuterte
kirbyfuentes07,#PiliPinas2016 #PHVoteDuterte
aronfloralde,#PiliPinas2016 | #PHVoteBinay #PHVoteRoxas #PHVotePoe #PHVoteDuterte #PHVoteSantiago |  (Hahaha ang cool lang ng emojis) <U+2661>
deanbernabe06,#PiliPinas2016
MIMAY_1D,"#PHVoteBinayﾠ  
#PHVoteDuterteﾠ  
#PHVotePoeﾠ  
#PHVoteRoxasﾠ  
#PHVoteSantiagoﾠ  
#Pilipinas2016"
jpmagarin,21 K #RunForSAFE #PiliPinas2016 https://t.co/V5nZYUMeXu
vsqzmnz,#PiliPinas2016
altizodwight,"Ngayon lang ako updated..

#PHVoteBinay  
#PHVoteDuterte  
#PHVotePoe  
#PHVoteRoxas  
#PHVoteSantiago  
#Pilipinas2016"
altizodwight,"#PHVoteBinay  
#PHVoteDuterte  
#PHVotePoe  
#PHVoteRoxas  
#PHVoteSantiago  
#Pilipinas2016"
NikoDeLeonRN,#PHVoteSantiago #PHVoteDuterte  #PiliPinas2016 #PiliPinas
myrh25,@twitter_ph #PHVoteDuterte #PiliPinas2016   My President https://t.co/wme9mtaamh
joybellena12,PILIPINAS2016 TRAINING
SpazzrAnonymous,"Lakas maka-fanwar ang iba't ibang kampo for #PiliPinas2016 ah. Name-calling level, ganun? Bahala kayo. Basta I know whom to vote for."
jpmagarin,Thank you Lord God for the strength and endurance! #21K #HalfMarathon #RunForSafe #PiliPinas2016 https://t.co/mfL65CGTUY
irishcd_,"""You say shame on me?! I say shame on you ""
 https://t.co/CceHf6Ii8s
#PiliPinas2016"
maraajoycee,"Why are people so afraid of electing a 'dictator' in a country with an alarmingly increasing crime rate?
#PiliPinas2016 
#PHVoteDuterte"
patriciajoyy,Finally. This is something. #PiliPinas2016
JuanchoBarretto,"A lot of my friends are undecided but are leaning towards either #PHvotePoe or #PHvoteRoxas. I'll write an essay on #Pilipinas2016, soon."
dreicipher,"I'm a filipino and my colors are red white and blue, not just yellow. #PiliPinas2016"
nettesque,SAME HERE IN PH!!! #PHVote #Halalan2016 #PiliPinas2016  https://t.co/0NS6f7Vr86
rommelandyou,Everything is perishable but love. #PHVoteDuterte #PiliPinas2016
merlyn26hoff,"@merlyn26hoff Let's show our support for our future President.

Tweet na po mga ka #DDS using the hashtags

#PHVoteDuterte #PiliPinas2016"
iammadkimchi,"""Mga kapatid, meron tayong mas matinding kalaban kay sa mga dayuhan, ang ating sarili"" - Heneral Luna.

#PHVoteDuterte #PiliPinas2016"
merlyn26hoff,"Let's show our support for our future President. 

Tweet na po mga ka #DDS using the hashtags

#PHVoteDuterte #PiliPinas2016 

#dds2016"
mylenebass,The hashtags are coupled with emojis too #PiliPinas2016 #PHVote #Eleksyon2016  https://t.co/1MwGWTHyY7
PHpolitics612,"@KarlClaveria @PHVoteRT ""By its very nature, history is always a one-sided account.ﾔ ﾖ Dan Brown #PiliPinas2016 #PiliPinas #VotePH2016"
PHpolitics612,@chichaychi @PHVoteRT LOOK: A poll Binay didn't pay for. #pilipinas #PiliPinas2016
EleazarSCannigo,#PiliPinas2016 #PHVoteDuterte
rascille,"do you already have a platform for the #environment?
#PHVoteBinay 
#PHVoteDuterte 
#PHVotePoe
#PHVoteRoxas
#PHVoteSantiago
#PiliPinas2016"
EleazarSCannigo,#PiliPinas2016  #voteduterte #VoteDuterteCayetano
PHpolitics612,"@PhilippineStar False poll, undoubtedly funded by Binay. #corruption #pilipinas #PiliPinas2016 #phvote2016"
ayeshavillanos,"@VoiceKidsUpdate @PHVoteRT Who are you supporting this #Pilipinas2016ﾠ elections?

#PHVoteDuterte"
katealegre,#PiliPinas2016 #PHVoteDuterte
ppelosas,"The next President should focus on education budget. #PiliPinas2016
#PHVoteDuterte 
#PHVoteSantiago 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteBinay"
ppelosas,Overhaul corrupt system. Courage &amp; strong political will. Change is coming. #PHVoteDuterte  #PiliPinas2016
ppelosas,"Im nt active in election usualy I wont vote or boycot. Nothing change poor become poorer, rich become richer. Now its time.
 #PiliPinas2016"
parangyon,#PHVoteDuterte #PHVoteSantiago #PHVoteRoxas #PHVotePoe #PiliPinas2016  God help us to find a true leader. Amen. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
parangyon,#PHVotePoe #PiliPinas2016  just trying the new emoji
kayeepotter,#PHVoteDuterte #PiliPinas2016  https://t.co/5buPQOmyvL
mylenebass,Nancy says VP Binay's presence worth more than cash https://t.co/5sFMZpYZpj #PiliPinas2016 #Eleksyon2016
baby0811,So happy <ed><U+00A0><U+00BD><ed><U+00B1><U+0089><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> #PiliPinas2016 #pilipinas
sh3ysh3y,@cnnphilippines yes! #PiliPinas2016 #PHVoteDuterte
stevieeadina27,#PiliPinas2016
SuperApec,#PiliPinas2016
LOLWAITWHAAAT,"#PHVoteBinay 
#PHVoteSantiago 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteDuterte 
#PiliPinas2016 

Aaawesome!"
kuyamikkey,Hoping Poe gets DQd then she and Chiz endorse Santiago. #PiliPinas2016
FEUAdvocate,@FEUAdvocate #PiliPinas2016
PHpolitics612,Philippine and US relations have never been better! #PiliPinas2016 #PiliPinas #RealDonaldTrump #phvote2016 https://t.co/m0sjNax160
keinykehl,Buti na lang may utak ang mga Tams! #PiliPinas2016  https://t.co/er2G9ePTpn
virmasimonette,Voters SHOULD read this. @COMELEC #PiliPinas2016 #PiliPinasDebate2016 #PHVote #Halalan2016 #BilangPilipino  https://t.co/KMDCZfny4I
jaidemoiselle,#PHVoteSantiago #PiliPinas2016  https://t.co/FgZw3DtpRC
AlvarezDale,"#PHVoteDuterte
#PHVoteSantiago

#PiliPinas2016 <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>"
ilmaribatiquin,#PiliPinas2016
MahusayMagTweet,"Battlecry for the upcoming election: Bilang Pilipino, Dapat Tama ang pagboto Para Panalo ang Pamilyang Pilipino! #PiliPinas2016 #Halalan2016"
SweetLoveOMine,"""@OneFEU: #TamAsks: Who will you vote for PH President? #PiliPinas2016 #MiriamDefensorSantiago"
OneFEU,"Cute twitter icons:

#PHVoteBinay
#PHVoteDuterte
#PHVotePoe
#PHVoteRoxas 
#PHVoteSantiago 

#PiliPinas2016 #TamBoto2016"
OneFEU,#TamAsks: Who will you vote for PH President? #PiliPinas2016 (Note: for Tamaraws 18 and above only including alums)
OneFEU,FEU's votes (as of March 4 11AM) go to Duterte and Santiago. #PiliPinas2016ﾠ#PHVoteDuterte #PHVoteSantiago https://t.co/7j04IGOn2I
OneFEU,"@OneFEU Did you participate in the e-voting? If not, who would you have voted for? #PiliPinas2016"
ricagfernandez,Yay for election emojis! #PiliPinas2016  https://t.co/781tiFIeo7
louisephilippe,@twitter_ph #PHVoteSantiago #PiliPinas2016
jmflorante,@twitter_ph #PHVoteDuterte #PiliPinas2016
emmantotes,Cute emojis! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #Pilipinas2016 https://t.co/lwRdflGvLp
crisjohndavid,Bakit parang mas maitim sa emoji si Duterte kesa kay Binay? #PiliPinas2016
crisjohndavid,Kung gusto mo umayos ang connection sa Pilipinas. Yung karapat dapat. Kaya may #PiliPinas2016
JuanchoBarretto,"#PHVotePoe #pilipinas2016 
Cool stuff from @twitter <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
#PHVoteBinay #PHVoteRoxas #PHVoteSantiago #PHVoteDuterte"
CDominick_,#PHVoteSantiago #PiliPinas2016
Carl_Cornelius,"The REAL Change the Nation needs!!! <ed><U+00A0><U+00BD><ed><U+00B1><U+0091>
#PHVoteSantiago #PiliPinas2016"
beinglilamarie,"From UAE with Love <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>

#PHVoteDuterte 
#PiliPinas2016 https://t.co/rjL2o0NF3P"
jhorel_bocade,#PiliPinas2016 #PiliPinas Read this guide in choosing the next PH president by @BroEliSoriano #CorruptedElection https://t.co/gmJLnRkTJQ
PHpolitics612,@PhilippineStar @noynoyaquino Hobbies include: Campaigning for someone who won't put him in jail &amp; Marcos bashing #PiliPinas #PiliPinas2016
ImChristianCS,#PiliPinas2016 #PHVoteDuterte  https://t.co/0xb87nOOLP
ielkenzoquines,"Let me try the new emoji
#PHVoteSantiago 
#PiliPinas2016"
PHpolitics612,"@YahooPH @noynoyaquino Your responsibility is to the country and it's citizens. Listen to your ""bosses."" #PiliPinas #PiliPinas2016"
VielTheHuman,"It was before, and it will be after? I DON'T THINK SO.

There is no such thing as forever.

#PiliPinas2016 https://t.co/Rxcv6ydCMJ"
renethssance,THE #PiliPinas2016 EMOJIS LABDIBAKWNQLNZYSZNPA !!!!!!!
AndreDaBata,#PHVoteDuterte #PHVoteBinay #PHVotePoe #PHVoteSantiago #PHVoteRoxas #PiliPinas2016  chuy ang emojis hahaha
KingShori,"#PiliPinas2016 

#PHVoteBinay 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteSantiago"
PHpolitics612,@YahooPH Keep believing these false polls and we will be stuck with a corrupt or American president. #PiliPinas2016 #PiliPinas #phpolitics
elayaquino_,Celebrities should never endorse political candidates. Our world isn't a product to endorse anyway. Just Saying! #PiliPinas2016
merysolnb,C #Duterte ay hindi plastic accdg to UPD political analyst. #Duterte2016 <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008A> https://t.co/8LfN3X41a7
rafaelleito21,#PHVoteDuterte #PiliPinas2016  hahhahaha angas
iam_kath16,#Pilipinas2016
KoyaArnie07,#PiliPinas2016
iAmHarryAcay,#PHVoteDuterte #PiliPinas2016 #PiliPinas
RASHIDdelgado,"The PiliPinas2016 twitter emojis

#PiliPinas2016ﾠ
#PHVoteBinayﾠ 
#PHVoteSantiagoﾠ 
#PHVoteDuterteﾠ 
#PHVotePoeﾠ 
#PHVoteRoxas"
RASHIDdelgado,#PiliPinas2016
chrischelle_GKC,#PiliPinas2016 https://t.co/fhDo6pteh8
AKVManangu,"#PHVoteBinay 
#PHVoteRoxas 
#PHVotePoe 
#PHVoteSantiago 
#PHVoteDuterte 
#PiliPinas2016 

Sugoii"
point_dzo,"#IfIWereThePresident
https://t.co/yjxvJ5D2jW
#PiliPinas2016"
beinglilamarie,"#PHVoteDuterte 
#PiliPinas2016"
twitnerv,#PiliPinas2016  #PHVoteDuterte
punichow,#PiliPinas2016 #PiliPinas Read this to make a Bible-based vote for the next PH president. #CorruptedElection https://t.co/AatWKHaKai
punichow,#PiliPinas2016 #PiliPinas Read this guide in choosing the next PH president by @BroEliSoriano #CorruptedElection https://t.co/pgjiTmvoZT
OneMapua,"#PiliPinas2016: If the elections were held today, who would you vote for president? https://t.co/cXECoPYl1W https://t.co/5bhA2msr9D"
TimEmir08,"COOL EMOJIs! 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteDuterte 
#PHVoteSantiago 
#PiliPinas2016 

PATI SA EMOJI NOGNOG PARIN SI BINAY!"
PinoyTekkie,#TwitterElection Emojis Encourage Participation and Engagement in #PiliPinas2016 on Twitter https://t.co/59JFOh7lag
PinoyTekkie,#TwitterElection Emojis Encourage Participation and Engagement in #PiliPinas2016 on Twitter https://t.co/vnVJaJy7bn
philnewsonline,#TwitterElection Emojis Encourage Participation and Engagement in #PiliPinas2016 on Twitter https://t.co/8DwrNMIARi
DalubhasangPNoy,#TwitterElection Emojis Encourage Participation and Engagement in #PiliPinas2016 on Twitter https://t.co/ThCeook353
BeKindToUsTroll,#TwitterElection Emojis Encourage Participation and Engagement in #PiliPinas2016 on Twitter https://t.co/yLwkhWyTtU
WazzupPilipinas,#TwitterElection Emojis Encourage Participation and Engagement in #PiliPinas2016 on Twitter https://t.co/2rt2MyTnYx
JoshuaRJuan,#PiliPinas2016 #PiliPinas
IamChetCapua,"On a serious note, I only have 3 candidates to choose from &amp; that's #PHVoteSantiago #PHVotePoeﾠ #PHVoteDuterte. #PiliPinas2016"
Conniegchow,@Team_Inquirer @CeeElMatus twit worthy na Ito??? Is this a news?? Grabe nmn promo! <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>#PiliPinas2016 #PHVoteDuterte
scuzzzy,"#PHVoteBinay
#PHVoteDuterte
#PHVotePoe
#PHVoteRoxas
#PHVoteSantiago

ok may napili na ko. yung may pinaka cute na emoji <ed><U+00A0><U+00BD><ed><U+00B8><U+0086> jk

#PiliPinas2016"
SamSammymartins,#PiliPinas2016
mhikk_23,"#PiliPinas  #PiliPinas2016

#PHVoteBinay  
#PHVoteDuterte  
#PHVotePoe 
#PHVoteRoxas  
#PHVoteSantiago"
help017,"The Meaning Of Life
https://t.co/iEw0hJvKZt
https://t.co/D6lnOOV58H
https://t.co/7qQoSghmAc
https://t.co/qFWzgBMgje

#PiliPinas2016"
fjsbagtas,#PiliPinas2016
bryllefroquero,"#PHVoteDuterte 
#PHVoteBinay 
#PHVotePoe 
#PHVoteSantiago 
#PHVoteRoxas 
#PiliPinas2016"
sefcapade_,#PiliPinas2016
crisjohndavid,#PiliPinas2016
justme_ellah,#PiliPinas2016
Reichen1828,#PHVoteSantiago #PiliPinas2016
Cameooowww,#PHVoteSantiago  #PiliPinas2016
MarkLouie5890,#PiliPinas2016
lykhabjo,#PiliPinas2016 #PHVoteDuterte
leks13,Let's run this 7-day poll: let us know your presidential bet and the reason for choosing. #PiliPinas2016
govph,Information and reminders to help you through the 2016 election season: https://t.co/gUoFPq9Guq #PiliPinas2016 https://t.co/m69udXsLrO
ziamxn,"#PHVoteSantiago
#PHVoteDuterte
#PHVotePoe
#PHVoteRoxas 
#PHVoteBinay
#PiliPinas2016

Cute haha"
itsmikoramos,@itsmikoramos #PiliPinas2016
jeffayaay,@COMELEC #PiliPinas2016 sana maging malinis at maayus ang botohan this coming May. Good luck Philippines! Vote wisely!
ReignGwapito,Candidates and the Messianic complex. #PHvote #Eleksyon2016 #juanvote  #PiliPinas2016
govph,"Application for local absentee voting has been extended. For details, visit: https://t.co/l53yY77HxW #PiliPinas2016 https://t.co/6PnH6wIXsd"
VoiceKidsUpdate,"Who are you supporting this #Pilipinas2016 elections?

#PHVoteRoxas 
#PHVoteBinay 
#PHVoteDuterte
#PHVotePoe
#PHVoteSantiago"
lishagift,#PiliPinas2016
cleidxx,Amaziiing <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> #PiliPinas2016  https://t.co/NaURKZz5tu
ancxla,#PiliPinas2016  #PHVoteDuterte
aalconcepcion,Madilaw na Kawit!!! #MARangal na kampanya para sa #MARangyang #PiliPinas2016. #RoxasRobredo #PHVoteRoxas #LabanLeni https://t.co/sfQazL1xsl
miyumint_,"OMG The PiliPinas2016 twitter emojis are so cool *A*

#PiliPinas2016
#PHVoteBinay 
#PHVoteSantiago 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteRoxas"
UNTVLife,@TwitterPH launches #PiliPinas2016 emojis https://t.co/20QSEbVLbs
OneMapua,Do you know who youﾒre voting for? https://t.co/XaklAc8fFc #PiliPinas2016 https://t.co/k86qizcugf
zopya_,"These emojis <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#PiliPinas2016 
#PHVoteDuterte 
#PHVoteRoxas 
#PHVotePoe 
#PHVoteSantiago 
#PHVoteBinay"
ssshhheina,#PiliPinas2016 #PHVoteBinay #PHVoteDuterte #PHVoteRoxas #PHVotePoe #PHVoteSantiago amazing
MFYgrubay,#PHVoteDuterte #PiliPinas2016 cool <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E>
jonathantobi,#MannyPacquiao falls from the Magic 12. I thought peenoise want him to bring Bibles to Senate for the 3 days he will attend? #PiliPinas2016
JAYBASIGA,"@siax68 yes. I've heard. Sige lang oy, naa an koy feeling she could win. Nxt mo naka larga diba? #PHVoteSantiago #PiliPinas2016"
psyche_tim,"Weh? Di nga?
#PiliPinas2016  https://t.co/XSjYlx76Jt"
BatchiFckngLuna,Bro no hindi ako na-orient #PiliPinas2016  https://t.co/mCu8hIhBzB
pinoymommy,"Manalo lang si @lenirobredo, medyo kampante na ako. #PiliPinas2016"
BatchiFckngLuna,"This is like Mitt Romney endorsing Donald Trump <ed><U+00A0><U+00BD><ed><U+00B8><U+0091>

Parehas desperado. Nyeta.

#PiliPinas2016"
pinoymommy,@HecklerForever grabeng tawa ko dito. Baka pwede natin isuggest ito sa @COMELEC at @TV5manila for the next debate. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #PiliPinas2016
gerliexxi,@aphroditearlene @JoshuaPilongo si Duterte na lang <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #PiliPinas2016 #PHVoteDuterte #PHVotePoe #PHVoteBinay #PHVoteSantiago #PHVoteRoxas
BatchiFckngLuna,"Dear @noynoyaquino,

You are no longer LP's representative. You are our president. Stop doing this.

#PiliPinas2016 https://t.co/FeaoRNhu2u"
junakeys,So far the most welcomed presidential aspirant has arrived. Disciplined pud ang most of the supporters. Wow. #PiliPinas2016
ChrisMarqueso,#PiliPinas2016  #PHVoteDuterte
patrennnggg,Choose your candidate wisely. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #PiliPinas2016
flosscarmelli,"cool emojis <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>(*^o^*)
#PiliPinas2016
#PHVoteSantiago 
#PHVoteDuterte 
#PHVoteBinay 
#PHVoteRoxas  
#PHVotePoe"
SaisakiSan,Millenials and baby-boomers last chance in ur lifetime to see PH become a middle-income economy vote wisely #PHVoteRoxas #PiliPinas2016
conjon027,Letter of Salvador H. Laurel to Cory Aquino on leaving her administration https://t.co/NAwGlS0zLB #PiliPinas2016
jeanxliezl,"HOW CUTE-- THOSE HASHTAGS WIH EMOJI <ed><U+00A0><U+00BD><ed><U+00B8><U+00B8> 
#PiliPinas2016 
#PHVoteSantiago"
_JVNIS,#PiliPinas2016 #PHVoteDuterte <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
ImChristianCS,@COMELEC #PiliPinas2016 #PiliPinas #PHVoteDuterte
sugaranne512,We trust and support you @RRD_Davao #PHVoteDuterte  #PiliPinas2016
Andre_SENTRO,#PiliPinas2016 hahaha nice
luzanomav,"""nice nice nice""  <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#PHVoteDuterte
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteSantiago 
#PHVotePoe
#PiliPinas2016"
mindlessbordi,"Ngaun election dalawa lang pagpipilian nyo, #PHVoteDuterte o #PHVoteSantiago . #PiliPinas2016"
_joshXYZ,I'm for the better Philippines! #PHVoteDuterte #PiliPinas2016
BatchiFckngLuna,"Suddenly remembered this. You'll get ZERO vote from me, @LiberalPH. #PiliPinas2016 https://t.co/WrsH3RxgLh"
imjudieeebbyyy,"The emojis tho hahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#PHVoteDuterte
#PHVoteRoxas 
#PHVoteBinay 
#PHVoteSantiago 
#PHVotePoe
#PiliPinas2016"
aniabelle14,"#PiliPinas2016
#PHVoteSantiago 
#PHVoteDuterte 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteBinay 
#EmojisOverload"
heyimdanejung,#PHVoteSantiago  #PiliPinas2016
jhona_maeyer,#PiliPinas2016 #PHVoteDuterte
Eydellecnls,#PiliPinas2016
bjayson23,"Good morning! 

#PiliPinas2016"
fafarichen,#PiliPinas2016  HAHAHA <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/B0VMiYtLHl
toringgoy,Presidentiable Emojis #PiliPinas2016
blacksparrow_15,I support #PHVoteDuterte this coming  #PiliPinas2016 elections!
YepThisIsMarc,"Make a right choice this coming elections! I'm not a registered voter yet, missed the registration because of my schedule.... #PiliPinas2016"
lancelot751,#PHVoteRoxas #PiliPinas2016
gr3tch3n_,#PiliPinas2016 All these campaign to feed the school children or to have all school children health insurance
gr3tch3n_,why do it JUST NOW? Why didn't do it prior to 2016 Election <ed><U+00A0><U+00BD><ed><U+00B8><U+00A3>  #PiliPinas2016
ronspm,"#PHVoteRoxas
#PHVoteDuterte
#PHVotePoe
#PHVoteBinay 
#PHVoteSantiago 

#BilangPilipino
 #PiliPinas2016"
ronspm,This is cooool #PiliPinas2016
roll_jervis,#PHVotePoe #PHVoteDuterte #PHVoteBinay #PHVoteSantiago #PHVoteRoxas #PiliPinas2016
roll_jervis,Just trying this out #PiliPinas2016
marjenasil7,Sa plagay ko mas madami ang sumosuporta kai duterty  lol   #PiliPinas2016
HarryEdward_19,"A Filipino should know this, and I'm going to support this, let's go Philippines.

#PiliPinas 
#PiliPinas2016 
#PiliPinasDebates2016"
ruzzellouiz,#PHVoteSantiago #PiliPinas2016
tixieprz,#PHVotePoe #PHVoteSantiago #PHVoteRoxas #PHVoteDuterte #PHVoteBinay -- VOTE WISELY! #PiliPinas2016
ennaelimac,#PiliPinas2016
erwincredible,Lakas maka-emoji ng eleksyon. #PiliPinas2016
RynWrrn,"He who saves a single soul, saves the world entire. #PiliPinas2016"
wicoowets,"#PiliPinas2016 
#PHVoteDuterte 
#PHVoteSantiago 
#PHVotePoe 
#PHVoteRoxas 
#PHVoteBinay 

If u dont vote, you'll lose the right to complain."
sofabforbes,#PiliPinas2016 #PiliPinas
OneMapua,Sinong iboboto mo? #PHVoteBinay #PHVoteRoxas #PHVoteDuterte #PHVoteSantiago #PHVotePoe #PiliPinas2016 https://t.co/cpAVLyemqB
justmark8,Maka-uli diay ko ani para sa #PiliPinas2016! Go for #PHVoteDuterte! https://t.co/IROC4c1bZK
ComelecSDN,Comelec-Surigao del Norte's Oplan Tangkas #ComelecSDN #PiliPinas2016 https://t.co/EIdGQMXW4T
RadaSheila,What's inside the voter's minds so far? #PiliPinas2016 #Pilipinas
RadaSheila,#TwitterElection Emojis Encourage Participation and Engagement in #PiliPinas2016 on Twitter https://t.co/Tpa8jNZRIn @wethepvblic #Pilipinas
iamMONT15,#Pilipinas2016 #PHVoteDuterte
kimdzaldivar,#PHVoteDuterte #pilipinas2016
twitnerv,#PHVoteDuterte  #PiliPinas2016
chahernandez_,"#PiliPinas2016 #PHVoteSantiago 
Galing! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
OneMapua,#PiliPinas2016 SURVEY UPDATE: https://t.co/PqZ3E2noXy https://t.co/rYF0JO00gj
CHAGSxPOGI,#PiliPinas #PiliPinas2016
govph,Information and reminders to help you through the 2016 election season: https://t.co/gUoFPq9Guq #PiliPinas2016 https://t.co/yzDA1zLnlN
JAYBASIGA,"I love my country and my countrymen, that's why I'm for Mdm. Santiago. #PHVoteSantiago #Eleksyon2016 #PiliPinas2016"
kingpatrickva,#PiliPinas2016
jjunbana,#NoToBinay #PiliPinas2016 https://t.co/sbM2jRcI1J
annenicoledg,#PiliPinas2016 #PiliPinas #Duterte2016
anjocerdena,"Very nice, @design @rapplerdotcom! Happy to finally see some attention on #PiliPinas2016 from a big social platform. https://t.co/NNQFwzZort"
keithmcmxc,This is so cute @COMELEC #PiliPinas2016 #PHVoteDuterte #PHVoteSantiago #PHVoteRoxas #PHVotePoe #PHVoteBinay
anjocerdena,@VinceNonato @bworldph Do we know who designed the emoji of presidentiables? #PiliPinas2016
ppelosas,Mayor Rody Du30 #PiliPinas2016 #PHVoteDuterte
swirlingRSS,#TwitterElection Emojis Encourage Participation and Engagement in #PiliPinas2016 on Twitter! https://t.co/a8IJCJ5KI4 https://t.co/BivGdgmzVt
chiminychurva,Botcha ka ba? #PiliPinas2016  https://t.co/2LeqFD8SsK
ppelosas,I vote Duterte for discipline and love of our  country. #PiliPinas2016 #Eleksyon2016 @TwitterPH
